,Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence,WER,MER,WIL
356,Participant3,Corpus2,D1,17,"""Hey Google, redial.""",hey Google play radio,0.6666666666666666,0.5,0.6666666666666667
357,Participant3,Corpus2,D1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any place around here,0.2222222222222222,0.2222222222222222,0.3194444444444444
358,Participant3,Corpus2,D1,19,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
359,Participant3,Corpus2,D1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google do I have any schedule for Friday,0.2222222222222222,0.2222222222222222,0.3950617283950617
360,Participant3,Corpus3,B1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set up 20 to here,0.5555555555555556,0.5555555555555556,0.746031746031746
361,Participant3,Corpus3,B1,2,"""Hey Google, broadcast 'dinner is ready'.""",Google podcasts,0.8333333333333334,0.8333333333333334,0.9166666666666666
362,Participant3,Corpus3,B1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set alarm for seven 5:55 15 tomorrow morning,0.4,0.36363636363636365,0.51
363,Participant3,Corpus3,B1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",OK Google,0.9090909090909091,0.9090909090909091,0.9545454545454546
364,Participant3,Corpus3,B1,5,"""Hey Google, skip to the next chapter.""",hey Google,0.7142857142857143,0.7142857142857143,0.7142857142857143
365,Participant3,Corpus3,B1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google did Liverpool win yesterday,0.14285714285714285,0.14285714285714285,0.1428571428571429
366,Participant3,Corpus3,B1,7,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain,0.0,0.0,0.0
367,Participant3,Corpus3,B1,8,"""Hey Google, sing a song.""",hey Google,0.6,0.6,0.6
368,Participant3,Corpus3,B1,9,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Indian restaurant around here,0.2222222222222222,0.2222222222222222,0.3950617283950617
369,Participant3,Corpus3,B1,10,"""Hey Google, start the school day""",hey Google,0.6666666666666666,0.6666666666666666,0.6666666666666667
370,Participant3,Corpus3,B1,11,"""Hey Google, hang up.""",hey Google app,0.5,0.5,0.6666666666666667
371,Participant3,Corpus3,B1,12,"""Hey Google, help.""",hey Google help,0.0,0.0,0.0
372,Participant3,Corpus3,B1,13,"""Hey Google, broadcast 'wake everybody up'.""",hey Google with everyone everybody off,0.5,0.5,0.75
373,Participant3,Corpus3,B1,14,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem,0.0,0.0,0.0
374,Participant3,Corpus3,B1,15,"""Hey Google, raise the temperature three degrees.""",what's the temperature 3 degrees,0.5714285714285714,0.5714285714285714,0.7857142857142857
375,Participant3,Corpus3,B1,16,"""Hey Google, stop the music.""",stop the music,0.4,0.4,0.4
376,Participant3,Corpus3,B1,17,"""Hey Google, read a bedtime story.""",hey Google list bedtime story,0.3333333333333333,0.3333333333333333,0.4666666666666667
377,Participant3,Corpus3,B1,18,"""Hey Google, add apples to my shopping list.""",Google shopping list,0.625,0.625,0.625
378,Participant3,Corpus3,B1,19,"""Hey Google, what does an elephant sound like?""",Google elephants,0.875,0.875,0.9375
379,Participant3,Corpus3,B1,20,"""Hey Google, broadcast 'the football is about to start.""",hey Google broadcast the football is around about his thoughts,0.4444444444444444,0.4,0.6000000000000001
380,Participant3,Corpus4,A1,1,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
381,Participant3,Corpus4,A1,2,"""Hey Google, how many calories are in a Banana?""",hey Google how many points are a banana,0.2222222222222222,0.2222222222222222,0.3194444444444444
382,Participant3,Corpus4,A1,3,"""Hey Google, play some music.""",hey Google play some music,0.0,0.0,0.0
383,Participant3,Corpus4,A1,4,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
384,Participant3,Corpus4,A1,5,"""Hey Google, what are my reminders for this week?""",OK Google what are my reminders for this week,0.1111111111111111,0.1111111111111111,0.2098765432098766
385,Participant3,Corpus4,A1,6,"""Hey Google, what's the temperature right now?""",Google what is the temperature right now,0.125,0.125,0.125
386,Participant3,Corpus4,A1,7,"""Hey Google, show me the backdoor camera.""",hey boo good show me the back room camera doll,0.7142857142857143,0.5,0.6428571428571428
387,Participant3,Corpus4,A1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow,0.0,0.0,0.0
388,Participant3,Corpus4,A1,9,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain,0.0,0.0,0.0
389,Participant3,Corpus4,A1,10,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room right to the group,0.3333333333333333,0.3,0.4555555555555556
390,Participant3,Corpus4,A1,11,"""Hey Google, snooze the alarm.""",hey Google Snoopy alarm,0.4,0.4,0.55
391,Participant3,Corpus4,A1,12,"""Hey Google, broadcast 'time to leave for school'.""",hey we're going to bosscat Tom to leave for school,0.75,0.5454545454545454,0.7159090909090909
392,Participant3,Corpus4,A1,13,"""Hey Google, stop.""",hey Google stop,0.0,0.0,0.0
393,Participant3,Corpus4,A1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",hey Google remind me at 8 a.m. tomorrow to take my lunch into work,0.2857142857142857,0.26666666666666666,0.38265306122448983
394,Participant3,Corpus4,A1,15,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
395,Participant3,Corpus4,A1,16,"""Hey Google, add apples to my shopping list.""",hey Google add an app to my shopping list,0.25,0.2222222222222222,0.3194444444444444
396,Participant3,Corpus4,A1,17,"""Hey Google, read Women and Power.""",hey Google read woman and Power,0.16666666666666666,0.16666666666666666,0.30555555555555547
397,Participant3,Corpus4,A1,18,"""Hey Google, when is Walmart open until?""",hey Google when is the Walmart open until,0.14285714285714285,0.125,0.125
398,Participant3,Corpus4,A1,19,"""Hey Google, turn up the sound.""",hey Google turn off this out,0.5,0.5,0.75
399,Participant3,Corpus4,A1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",hey Google can center around 4:25 15 paste,0.75,0.75,0.9375
400,Participant3,Corpus5,A2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm 7 5:55 a.m. tomorrow morning,0.3,0.3,0.51
401,Participant3,Corpus5,A2,2,"""Hey Google, broadcast 'the football is about to start.""",hey Google broadcast the football on his about to start,0.3333333333333333,0.3,0.4555555555555556
402,Participant3,Corpus5,A2,3,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
403,Participant3,Corpus5,A2,4,"""Hey Google, spell artificial intelligence.""",a fookin spell artificial intelligence,0.4,0.4,0.64
404,Participant3,Corpus5,A2,5,"""Hey Google, how do you make ketchup?""",hey Google how do you make ketchup,0.0,0.0,0.0
405,Participant3,Corpus5,A2,6,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
406,Participant3,Corpus5,A2,7,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week,0.0,0.0,0.0
407,Participant3,Corpus5,A2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",hey Google stop the music in 15 minutes,0.1111111111111111,0.1111111111111111,0.11111111111111116
408,Participant3,Corpus5,A2,9,"""Hey Google, brighten the office lamp.""",hey Google brighten office lamp,0.16666666666666666,0.16666666666666666,0.16666666666666663
409,Participant3,Corpus5,A2,10,"""Hey Google, what does an elephant sound like?""",hey Google what start an airplane sound like,0.25,0.25,0.4375
410,Participant3,Corpus5,A2,11,"""Hey Google, lock the front door.""",Hey Google lock the front door,0.0,0.0,0.0
411,Participant3,Corpus5,A2,12,"""Hey Google, read Women and Power.""",Hey Google read woman and Power,0.16666666666666666,0.16666666666666666,0.30555555555555547
412,Participant3,Corpus5,A2,13,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room right to rule,0.2222222222222222,0.2222222222222222,0.3950617283950617
413,Participant3,Corpus5,A2,14,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
414,Participant3,Corpus5,A2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the thermostat to 23 gate,0.3333333333333333,0.3333333333333333,0.5
415,Participant3,Corpus5,A2,16,"""Hey Google, play my Evening Jazz playlist.""",hey Google play my evening Jazz playlist,0.0,0.0,0.0
416,Participant3,Corpus5,A2,17,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday,0.0,0.0,0.0
417,Participant3,Corpus5,A2,18,"""Hey Google, sing a song.""",hey Google sing a song,0.0,0.0,0.0
418,Participant3,Corpus5,A2,19,"""Hey Google, call the nearest coffee shop.""",Hey Google call the nearest coffee shop,0.0,0.0,0.0
419,Participant3,Corpus5,A2,20,"""Hey Google, pause the music.""",hey Google pause the music,0.0,0.0,0.0
420,Participant3,Corpus6,B2,1,"""Hey Google, open the blinds.""",hey Google open the bite,0.2,0.2,0.3599999999999999
421,Participant3,Corpus6,B2,2,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
422,Participant3,Corpus6,B2,3,"""Hey Google, add apples to my shopping list.""",hey Google create a shopping list,0.5,0.5,0.6666666666666667
423,Participant3,Corpus6,B2,4,"""Hey Google, what does my day look like?""",hey Google what's my day look like,0.125,0.125,0.234375
424,Participant3,Corpus6,B2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Google how to spell 15,0.875,0.875,0.975
425,Participant3,Corpus6,B2,6,"""Hey Google, where is my first event tomorrow?""",Google where is my first event tomorrow,0.125,0.125,0.125
426,Participant3,Corpus6,B2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play songs from Spotify,0.375,0.375,0.47916666666666663
427,Participant3,Corpus6,B2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",hey Google set a timer for 10 minutes,0.1111111111111111,0.1111111111111111,0.11111111111111116
428,Participant3,Corpus6,B2,9,"""Hey Google, call the nearest coffee shop.""",Google call the nearest coffee shop,0.14285714285714285,0.14285714285714285,0.1428571428571429
429,Participant3,Corpus6,B2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",OK Google set an alarm for 7:15 a.m. tomorrow morning,0.3,0.3,0.51
430,Participant3,Corpus6,B2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow,0.0,0.0,0.0
431,Participant3,Corpus6,B2,12,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
432,Participant3,Corpus6,B2,13,"""Hey Google, what are my reminders for this week?""",hey Google,0.7777777777777778,0.7777777777777778,0.7777777777777778
433,Participant3,Corpus6,B2,14,"""Hey Google, snooze the alarm.""",Google Sylvia,0.8,0.8,0.9
434,Participant3,Corpus6,B2,15,"""Hey Google, what is the time?""",hey Google what is the table,0.16666666666666666,0.16666666666666666,0.30555555555555547
435,Participant3,Corpus6,B2,16,"""Hey Google, pause the music.""",hey Google how's the music,0.4,0.3333333333333333,0.4666666666666667
436,Participant3,Corpus6,B2,17,"""Hey Google, call My mom.""",hey Google call my mom,0.0,0.0,0.0
437,Participant3,Corpus6,B2,18,"""Hey Google, what is the traffic like on the way to work?""",Google what is the traffic like on the way to work,0.08333333333333333,0.08333333333333333,0.08333333333333337
438,Participant3,Corpus6,B2,19,"""Hey Google, play my Evening Jazz playlist.""",hey Google play Caspar list,0.5714285714285714,0.5714285714285714,0.7428571428571429
439,Participant3,Corpus6,B2,20,"""Hey Google, is my phone connected over Bluetooth?""",hey Google,0.75,0.75,0.75
440,Participant3,Corpus7,D2,1,"""Hey Google, play some hip hop.""",-,1.0,1.0,1.0
441,Participant3,Corpus7,D2,2,"""Hey Google, skip this track.""",Hey Google,0.6,0.6,0.6
442,Participant3,Corpus7,D2,3,"""Hey Google, turn on the Bedroom Light.""",-,1.0,1.0,1.0
443,Participant3,Corpus7,D2,4,"""Hey Google, read Women and Power.""",her beautiful woman,1.0,1.0,1.0
444,Participant3,Corpus7,D2,5,"""Hey Google, call the nearest coffee shop.""",Google call the nearest coffee shop,0.14285714285714285,0.14285714285714285,0.1428571428571429
445,Participant3,Corpus7,D2,6,"""Hey Google, How do you solve this problem?""",Google how do you solve this problem,0.125,0.125,0.125
446,Participant3,Corpus7,D2,7,"""Hey Google, how much time is left on this chapter?""",how much time is left on the Shafter,0.4,0.4,0.55
447,Participant3,Corpus7,D2,8,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth,0.25,0.25,0.25
448,Participant3,Corpus7,D2,9,"""Hey Google, flip a coin.""",Google flip a coin,0.2,0.2,0.19999999999999996
449,Participant3,Corpus7,D2,10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",Google send a second timer for 15 minutes,0.4,0.4,0.55
450,Participant3,Corpus7,D2,11,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google send a text to 23 k,0.6666666666666666,0.6666666666666666,0.875
451,Participant3,Corpus7,D2,12,"""Hey Google, what is the time?""",hey Google,0.6666666666666666,0.6666666666666666,0.6666666666666667
452,Participant3,Corpus7,D2,13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hey Google Play,0.8461538461538461,0.8461538461538461,0.8974358974358975
453,Participant3,Corpus7,D2,14,"""Hey Google, when is Walmart open until?""",Ok Google where is Walmart,0.5714285714285714,0.5714285714285714,0.7428571428571429
454,Participant3,Corpus7,D2,15,"""Hey Google, brighten the office lamp.""",hey Google Freddy Krueger the office,0.5,0.42857142857142855,0.5555555555555556
455,Participant3,Corpus7,D2,16,"""Hey Google, hang up.""","hey Google,",0.5,0.5,0.5
456,Participant3,Corpus7,D2,17,"""Hey Google, delete my reminder to pick up my dry cleaning.""","Google, to pick up",0.6363636363636364,0.6363636363636364,0.6363636363636364
457,Participant3,Corpus7,D2,18,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
458,Participant3,Corpus7,D2,19,"""Hey Google, broadcast 'dinner is ready'.""",hey Google,0.6666666666666666,0.6666666666666666,0.6666666666666667
459,Participant3,Corpus7,D2,20,"""Hey Google, add apples to my shopping list.""",hey Google create a shopping list,0.5,0.5,0.6666666666666667
460,Participant3,Corpus8,C2,1,"""Hey Google, help me relax.""",Hey Google help me Lila,0.2,0.2,0.3599999999999999
461,Participant3,Corpus8,C2,2,"""Hey Google, sing a song.""",hey Google sing a song,0.0,0.0,0.0
462,Participant3,Corpus8,C2,3,"""Hey Google, read a bedtime story.""",hey Susan read a bedtime story,0.16666666666666666,0.16666666666666666,0.30555555555555547
463,Participant3,Corpus8,C2,4,"""Hey Google, raise the temperature three degrees.""",hey Google right the temperature 3 degrees,0.2857142857142857,0.2857142857142857,0.4897959183673469
464,Participant3,Corpus8,C2,5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set the alarm for 3 and 5:15 a.m. tomorrow morning,0.5,0.4166666666666667,0.5916666666666667
465,Participant3,Corpus8,C2,6,"""Hey Google, do I have any alarms set?""",hey Google do I have any alarm set,0.125,0.125,0.234375
466,Participant3,Corpus8,C2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa from Spotify,0.0,0.0,0.0
467,Participant3,Corpus8,C2,8,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter,0.0,0.0,0.0
468,Participant3,Corpus8,C2,9,"""Hey Google, are there any Italian restaurants around here?""",hey go good in Korean restaurant around here,0.6666666666666666,0.6666666666666666,0.875
469,Participant3,Corpus8,C2,10,"""Hey Google, play some hip hop.""",hey Google play some hip hop,0.0,0.0,0.0
470,Participant3,Corpus8,C2,11,"""Hey Google, play some music.""",hey Google play some music,0.0,0.0,0.0
471,Participant3,Corpus8,C2,12,"""Hey Google, turn on all the switches.""",hey Google turn on auto switch,0.42857142857142855,0.42857142857142855,0.6190476190476191
472,Participant3,Corpus8,C2,13,"""Hey Google, what's the weather like today?""",hey Google what's the weather right today,0.125,0.125,0.234375
473,Participant3,Corpus8,C2,14,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing,0.0,0.0,0.0
474,Participant3,Corpus8,C2,15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",hey Google set the kitchen light to 50%,0.2222222222222222,0.2222222222222222,0.3194444444444444
475,Participant3,Corpus8,C2,16,"""Hey Google, how much time is left on this chapter?""",hey Google how much time is left on this chapter,0.0,0.0,0.0
476,Participant3,Corpus8,C2,17,"""Hey Google, help.""",hey Google help,0.0,0.0,0.0
477,Participant3,Corpus8,C2,18,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is Larry,0.3333333333333333,0.3333333333333333,0.5555555555555556
478,Participant3,Corpus8,C2,19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",hey Google cancel the alarm for 3 and 5:15,0.375,0.3333333333333333,0.5
479,Participant3,Corpus8,C2,20,"""Hey Google, add apples to my shopping list.""",hey Google ask app to my shopping list,0.25,0.25,0.4375
480,Participant4,Corpus1,D1,1,"""Hey Google, read a bedtime story.""",Google read a bedtime story,0.16666666666666666,0.16666666666666666,0.16666666666666663
481,Participant4,Corpus1,D1,2,"""Hey Google, did the Liverpool win yesterday?""",Hoverboard,1.0,1.0,1.0
482,Participant4,Corpus1,D1,3,"""Hey Google, redi-al.""",Hoverboard,1.0,1.0,1.0
483,Participant4,Corpus1,D1,4,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop,0.0,0.0,0.0
484,Participant4,Corpus1,D1,5,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
485,Participant4,Corpus1,D1,6,"""Hey Google, broadcast 'wake everybody up'.""",broadcast everybody else,0.6666666666666666,0.6666666666666666,0.7777777777777778
486,Participant4,Corpus1,D1,7,"""Hey Google, dim the living room lights.""",Hoverboard,1.0,1.0,1.0
487,Participant4,Corpus1,D1,8,"""Hey Google, broadcast 'dinner is ready'.""",who Google broadcast dinner is ready,0.3333333333333333,0.3333333333333333,0.5555555555555556
488,Participant4,Corpus1,D1,9,"""Hey Google, turn on the Bedroom Light.""",turn on the bedroom lights,0.42857142857142855,0.42857142857142855,0.5428571428571429
489,Participant4,Corpus1,D1,10,"""Hey Google, broadcast 'time to leave for school'.""",broadcast antonym for school,0.625,0.625,0.71875
490,Participant4,Corpus1,D1,11,"""Hey Google, stop.""",hello Google.,0.6666666666666666,0.6666666666666666,0.8333333333333334
491,Participant4,Corpus1,D1,12,"""Hey Google, play music on all the downstairs speakers.""",Who Google play music on all the downstairs speakers,0.1111111111111111,0.1111111111111111,0.2098765432098766
492,Participant4,Corpus1,D1,13,"""Hey Google, play some hip hop.""",hey Google play some hip hop,0.0,0.0,0.0
493,Participant4,Corpus1,D1,14,"""Hey Google, snooze the alarm.""",-,1.0,1.0,1.0
494,Participant4,Corpus1,D1,15,"""Hey Google, what does an elephant sound like?""",-,1.0,1.0,1.0
495,Participant4,Corpus1,D1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",-,1.0,1.0,1.0
496,Participant4,Corpus1,D1,17,"""Hey Google, play Batman on TV.""",Hey Google play Batman on TV,0.0,0.0,0.0
497,Participant4,Corpus1,D1,18,"""Hey Google, what is the French word for grapefruit?""",hello Google what is the French word for grapefruit,0.1111111111111111,0.1111111111111111,0.2098765432098766
498,Participant4,Corpus1,D1,19,"""Hey Google, help.""",hoverboard help,0.6666666666666666,0.6666666666666666,0.8333333333333334
499,Participant4,Corpus1,D1,20,"""Hey Google, what are my reminders for this week?""",what are my reminders for this week,0.2222222222222222,0.2222222222222222,0.2222222222222222
500,Participant4,Corpus2,A1,1,"""Hey Google, what does an elephant sound like?""",what does an elephant sound like,0.25,0.25,0.25
501,Participant4,Corpus2,A1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 8 a.m. tomorrow to take my lunch into work,0.2857142857142857,0.26666666666666666,0.38265306122448983
502,Participant4,Corpus2,A1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
503,Participant4,Corpus2,A1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Nissa from Spotify,0.125,0.125,0.234375
504,Participant4,Corpus2,A1,5,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
505,Participant4,Corpus2,A1,6,"""Hey Google, read Women and Power.""",resume run and Power,0.6666666666666666,0.6666666666666666,0.8333333333333334
506,Participant4,Corpus2,A1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the bedroom,0.0,0.0,0.0
507,Participant4,Corpus2,A1,8,"""Hey Google, read a bedtime story.""",bedtime story,0.6666666666666666,0.6666666666666666,0.6666666666666667
508,Participant4,Corpus2,A1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify,0.0,0.0,0.0
509,Participant4,Corpus2,A1,10,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees,0.14285714285714285,0.14285714285714285,0.26530612244897966
510,Participant4,Corpus2,A1,11,"""Hey Google, hang up.""",hey Google hang up,0.0,0.0,0.0
511,Participant4,Corpus2,A1,12,"""Hey Google, broadcast 'time to leave for school'.""",Hey Google broadcast it's time to leave for school,0.375,0.3,0.38750000000000007
512,Participant4,Corpus2,A1,13,"""Hey Google, brighten the office lamp.""",hey Google brighten the office lamp,0.0,0.0,0.0
513,Participant4,Corpus2,A1,14,"""Hey Google, what is today's headlines?""",what is today's headlines,0.2857142857142857,0.2857142857142857,0.2857142857142857
514,Participant4,Corpus2,A1,15,"""Hey Google, turn on the Bedroom Light.""",Google turn on the bedroom light,0.14285714285714285,0.14285714285714285,0.1428571428571429
515,Participant4,Corpus2,A1,16,"""Hey Google, where did I put the spare keys?""",hey Google where's the spare key,0.4444444444444444,0.4444444444444444,0.6031746031746031
516,Participant4,Corpus2,A1,17,"""Hey Google, redial.""",hey Google redial,0.0,0.0,0.0
517,Participant4,Corpus2,A1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurants around here,0.0,0.0,0.0
518,Participant4,Corpus2,A1,19,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
519,Participant4,Corpus2,A1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google schedule for Friday,0.5555555555555556,0.5555555555555556,0.6444444444444444
520,Participant4,Corpus3,C1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",set the thermostat to 20 degrees,0.3333333333333333,0.3333333333333333,0.33333333333333337
521,Participant4,Corpus3,C1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner's ready,0.16666666666666666,0.16666666666666666,0.30555555555555547
522,Participant4,Corpus3,C1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7.00 15lt Morrow morning,0.3,0.3,0.51
523,Participant4,Corpus3,C1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning,0.0,0.0,0.0
524,Participant4,Corpus3,C1,5,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter,0.0,0.0,0.0
525,Participant4,Corpus3,C1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday,0.0,0.0,0.0
526,Participant4,Corpus3,C1,7,"""Hey Google, when is it going to rain?""",hey Google when is going to rain,0.125,0.125,0.125
527,Participant4,Corpus3,C1,8,"""Hey Google, sing a song.""",Google song,0.6,0.6,0.6
528,Participant4,Corpus3,C1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here,0.0,0.0,0.0
529,Participant4,Corpus3,C1,10,"""Hey Google, start the school day""",Google start the school day,0.16666666666666666,0.16666666666666666,0.16666666666666663
530,Participant4,Corpus3,C1,11,"""Hey Google, hang up.""",hey Google Hangouts,0.5,0.5,0.6666666666666667
531,Participant4,Corpus3,C1,12,"""Hey Google, help.""",hey Google help,0.0,0.0,0.0
532,Participant4,Corpus3,C1,13,"""Hey Google, broadcast 'wake everybody up'.""",Google broadcast wake everybody up,0.16666666666666666,0.16666666666666666,0.16666666666666663
533,Participant4,Corpus3,C1,14,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem,0.0,0.0,0.0
534,Participant4,Corpus3,C1,15,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees,0.14285714285714285,0.14285714285714285,0.26530612244897966
535,Participant4,Corpus3,C1,16,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
536,Participant4,Corpus3,C1,17,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story,0.0,0.0,0.0
537,Participant4,Corpus3,C1,18,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list,0.0,0.0,0.0
538,Participant4,Corpus3,C1,19,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like,0.0,0.0,0.0
539,Participant4,Corpus3,C1,20,"""Hey Google, broadcast 'the football is about to start.""",Hey Google broadcast the football is about to start,0.1111111111111111,0.1111111111111111,0.2098765432098766
540,Participant4,Corpus4,B1,1,"""Hey Google, stop the music.""",hello Google stop music,0.4,0.4,0.55
541,Participant4,Corpus4,B1,2,"""Hey Google, how many calories are in a Banana?""",hello Google how many calories are in a banana,0.1111111111111111,0.1111111111111111,0.2098765432098766
542,Participant4,Corpus4,B1,3,"""Hey Google, play some music.""",hoverboard Amazon music,0.8,0.8,0.9333333333333333
543,Participant4,Corpus4,B1,4,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
544,Participant4,Corpus4,B1,5,"""Hey Google, what are my reminders for this week?""",hello Google what are my reminders for this week,0.1111111111111111,0.1111111111111111,0.2098765432098766
545,Participant4,Corpus4,B1,6,"""Hey Google, what's the temperature right now?""",hello Google what's the temperature right now,0.125,0.125,0.234375
546,Participant4,Corpus4,B1,7,"""Hey Google, show me the backdoor camera.""",show me the map of Canada,0.7142857142857143,0.625,0.7857142857142857
547,Participant4,Corpus4,B1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",set alarm for 8 a.m. tomorrow,0.25,0.25,0.25
548,Participant4,Corpus4,B1,9,"""Hey Google, when is it going to rain?""",Hoover when is it going to rain,0.25,0.25,0.3571428571428572
549,Participant4,Corpus4,B1,10,"""Hey Google, turn the living room lights to blue""",who Google who light blue,0.7777777777777778,0.7777777777777778,0.9111111111111111
550,Participant4,Corpus4,B1,11,"""Hey Google, snooze the alarm.""",hoverboard move the alarm,0.6,0.6,0.8
551,Participant4,Corpus4,B1,12,"""Hey Google, broadcast 'time to leave for school'.""",broadcast time for me for school,0.625,0.625,0.8125
552,Participant4,Corpus4,B1,13,"""Hey Google, stop.""",Google stop,0.3333333333333333,0.3333333333333333,0.33333333333333337
553,Participant4,Corpus4,B1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",remind me at 8 a.m. tomorrow to take my lunch in Stuart,0.42857142857142855,0.4,0.5178571428571428
554,Participant4,Corpus4,B1,15,"""Hey Google, play some music from Spotify.""",hello Google play some music on Spotify,0.2857142857142857,0.2857142857142857,0.4897959183673469
555,Participant4,Corpus4,B1,16,"""Hey Google, add apples to my shopping list.""",Hoover I'm apples to my shopping list,0.375,0.375,0.609375
556,Participant4,Corpus4,B1,17,"""Hey Google, read Women and Power.""",hello Google women and Power,0.3333333333333333,0.3333333333333333,0.4666666666666667
557,Participant4,Corpus4,B1,18,"""Hey Google, when is Walmart open until?""",when is Walmart open,0.42857142857142855,0.42857142857142855,0.4285714285714286
